dataMatrix	C100a	C100b	C100c
M429.2027	20627301.2594355	18439286.2549144	15030843.8516337
M430.2061	3357337.66721345	2491324.12438228	2815058.69306272
M430.9136	459523.217592693	546072.034413905	1098455.38361521
M432.2378	24181528.6554389	19091974.9783059	17162897.9674625
M432.9672	NA	2174264.64466613	1658020.66886459
M432.9761	3506940.32710531	4143979.49736794	4108422.69953065
M433.0077	NA	6217592.81631076	2779417.05432269
M433.2412	5165211.66659649	4306300.66247009	3634289.72168813
M435.2116	2371973.89927166	2576071.21844193	NA
M436.9790	1748127.25128554	1044776.28597126	1023076.50225925
M437.1932	251500580.617872	228461188.095849	220520632.032774
M438.1966	43564398.2923456	39910883.8894375	35532380.8872946
M438.9842	3687983.04178313	4549215.42634023	4506435.07380544
M439.2000	3473619.15926499	2948242.40812901	2821235.95784408
M439.2559	16651902.3056015	16218751.4681529	16550227.4266657
M440.2594	2987429.21801291	3081870.77864414	3178655.45047794
M441.2530	4484775.74703227	4140455.17059523	4702928.16676045
M441.2974	2075708.86927038	1895232.79762786	2594356.25203673
M442.9960	921359.929551997	NA	469136.846600251
M443.2678	31749798.8343095	32941165.2561204	32791989.2418301
M444.2712	5063784.63771663	5106392.63678711	5313268.21296862
M445.1766	3191164.12940581	2686790.25966952	2793724.99104169
M449.2848	19296778.3613516	21347279.1775064	21188564.4615953
M450.2882	3544892.23262142	4278635.84089954	4442341.48703894
M451.0036	827412.622001902	835881.529074252	946609.846857891
M453.1672	171424573.396354	161861828.907347	151721058.372762
M454.1706	29385070.0300476	27478607.7784379	26673841.9548771
M454.9581	1842500.02074552	2407814.34658038	2207237.39159366
M454.9897	500971.72345981	NA	567056.77680096
M455.1653	5839629.0279541	6926107.30870691	5961461.66828606
M455.1740	1750103.59998115	2391316.95121008	2079473.18502088
M455.2299	2682139.93970798	1597209.37483589	3008487.65069589
M457.0205	NA	822634.304331624	726115.508615181
M459.0772	5427975.18767948	6265265.596439	2034602.89787565
M460.3268	1521981.10994801	1307800.20620859	NA
M462.3424	116940567.140264	88556011.7763781	74095158.8074716
M463.3458	21880711.8463935	16826369.3870458	15681381.6460315
M464.3492	NA	NA	NA
M464.3579	NA	NA	NA
M465.2586	1806868.62037621	2477645.65641598	3210876.83145013
M467.1018	NA	3355528.97359235	5729065.87720533
M467.1253	12123900.5348116	13274417.5258689	11161743.85237
M468.1014	NA	NA	NA
M468.1286	3501840.68904855	3583160.52626799	2735792.0478569
M469.2726	1920769.53504816	NA	1835730.82484091
M475.0547	1575284.66928469	1295045.26642535	NA
M483.2884	7477241.46223121	6596429.85675904	5020562.16837423
M484.2229	22763453.1815601	22162782.5048651	18247734.0329134
M484.3243	33949222.7556143	26254579.2846628	22743988.0399606
M485.2262	5721869.78241495	5945895.81212371	5699203.05495008
M485.3276	7389292.49882727	5597648.05246474	5826738.04756752
M490.3064	7005934.71316811	7177264.10980693	6059423.95803762
M496.3397	19301986.506177	20037518.9942554	21122986.9993826
M497.3430	2824408.1950822	4463751.75022188	5378109.85448609
M499.1639	1824338.00622249	1495983.90684429	1871595.04476979
M500.2983	4484211.58083326	3417577.06695201	3925912.225294
M504.3219	14037508.4497066	13408143.2116979	11965459.0270626
M505.3255	3828988.48523015	4209535.84729117	2935652.06057186
M507.2716	2045073.39940774	NA	1356881.36577908
M511.1082	1392129.14193124	1338106.59964788	1617024.00890785
M518.3216	27093156.7612048	33028676.3743224	36099746.0746536
M519.3250	5895239.4311464	6711770.1381985	7667903.1411831
M520.3397	3847492.73196964	4541854.44822529	3650359.69021773
M522.2962	6296155.41470912	5273888.24434824	4965630.50366915
M522.3553	2075613.99300101	1858911.52095056	2240708.1380028
M524.3710	5066236.16203511	4812299.1100232	5061074.36336333
M533.3295	1721024.51262182	2878425.67290566	2364704.76505068
M534.2956	2765467.76936629	4734881.48270573	4220585.66000109
M540.3068	4406984.10928948	3809775.62392765	2756363.60602222
M542.3216	6111166.74805163	6983053.66187475	8246171.81585917
M543.3252	1015430.72454012	1537890.1105699	1551677.94395954
M544.3130	12527650.5351124	12668489.4605489	10621992.5070898
M544.3375	3296394.51196524	3552085.79079011	4478046.31091711
M545.3162	3629406.54986112	3430465.78070176	3374601.38373463
M546.3530	6487511.84080137	7430702.91543311	8689345.15809027
M547.3086	11492548.480285	8775007.36450722	8167383.80382567
M547.3565	NA	2148875.83004235	1900961.67238174
M548.3118	3338788.99091915	2921348.91737027	2116721.35456643
M549.3056	2523179.76594264	2163698.55431172	NA
M549.3241	6054867.25315898	4224843.51673666	4140203.62188546
M561.3608	4430520.45611544	6188958.79799756	5311730.12596965
M561.3799	2780413.20629084	2012867.30103475	NA
M563.3399	36133451.6274531	27450715.2193879	22005563.1142296
M564.2744	29396233.1138953	23179681.3258756	21194125.2658363
M564.3432	10981623.8155861	9069275.54168641	7779434.7604166
M565.2778	10253559.1807825	8571083.5904364	7840953.9399012
M565.3370	9702035.53313166	7611518.63470811	7841251.34734168
M565.3555	14003182.9961572	12097200.0705162	9578029.43833357
M566.2900	22170097.8455947	21675454.3893316	20328347.4235747
M566.3404	3261515.81995163	2320702.71592749	NA
M566.3588	4706099.04994465	3391673.43137811	2851733.85960977
M567.2934	9133470.55873158	7641148.46692478	7325496.78803742
M567.3524	3730575.29864749	1900484.41973943	2404386.11508467
M568.2693	5845481.68626657	5280729.78617606	5161661.83183746
M575.3343	4029460.63923149	2956375.49269933	3270179.06393519
M576.2805	NA	NA	NA
M576.3181	200240431.329253	155753381.375412	142977125.658979
M577.3214	47852877.6287887	39755811.6228349	37243947.1122577
M578.3247	5012847.82029689	5463534.52118957	5082637.43713547
M579.3711	38642925.4149014	30968517.3867908	23818983.893898
M579.5346	1016351.23747087	1172214.21888856	1169684.58035576
M580.3056	98971825.8626112	83323998.4697323	75139576.9067207
M580.3745	12243264.6678092	11003146.9560264	8807605.65488151
M581.3091	32063049.7137798	26997586.1215661	22506857.0327746
M581.3682	10515939.51269	7931579.45100295	7301159.9418262
M582.3124	5077956.48683686	4600378.57086312	3599079.86995104
M590.3225	101746549.313492	95557744.5944848	88043292.0021999
M591.3258	28465733.7176523	26508076.1209476	25883926.9252266
M591.4959	NA	2405858.20363335	1667892.5401486
M592.3292	3805771.55155463	3215590.36428314	3058976.81353684
M597.3453	5558354.05706274	4403047.38929835	4355193.43271536
M598.2799	23001456.5011199	21231835.1017178	20127831.6516988
M598.3000	5877275.89155875	4344958.79380871	3872884.54635857
M599.2832	8655953.15777912	8528057.97777283	7657673.40725925
M599.3035	1479846.4103594	NA	1216689.13031145
M603.3657	8866479.3939369	8287382.94272769	7198294.20470507
M604.3689	2586954.41154763	2988375.90604904	2523725.23798267
M607.5661	1113445.3888372	1501212.91393093	1537224.91922729
M619.5271	11747813.7439383	15463697.128246	13837978.9843392
M620.5304	3761561.01993107	4734963.03755274	5069530.54653342
M623.1356	3180595.5891105	4042278.55956248	4228273.45887652
M624.1388	724343.122602858	695987.647308726	NA
M629.1524	2572860.64592934	2948342.74173428	3090087.27795212
M635.5011	3243038.04892189	4424993.42338596	4436907.41009134
M637.3638	2153320.20402197	1829873.68603118	NA
M645.1048	849221.536255017	NA	1006127.8677095
M645.1175	2526576.40738937	3142328.0338279	2962154.66068822
M647.5584	15067023.1938918	16336177.8854976	18728177.9938016
M648.5619	6254605.04424434	8193008.61511028	7024234.43709767
M651.1343	1987468.79138313	2507140.87094772	2375049.76869229
M660.0821	814437.300289444	1534479.22412678	562744.881718695
M661.0824	2398892.29202539	2727254.79533067	4415848.32046208
M662.5694	2779079.65330773	2482375.43135903	2480001.0808934
M663.5325	3996916.91510874	5784442.30708932	5235727.2482233
M664.5358	NA	1587875.03197069	1553434.43846743
M665.3661	2386866.65735071	1874050.73186798	2048358.9876479
M667.0996	2446538.33641566	2624223.87679173	2928170.0318936
M670.2559	1754183.64727958	2408870.1151202	2109061.02452055
M670.3738	6636668.39355427	6446248.74652466	6031306.96951204
M671.3772	2816636.0913067	1798089.63237222	2111722.2798079
M672.3895	4686473.79893916	4258496.84175044	4166255.72826511
M673.1164	1469352.7683988	1829681.76580113	1917560.23493875
M674.3685	3809129.89511944	3160860.00557134	2636130.13374479
M676.0468	1461863.10195596	NA	1377422.71456078
M683.0643	1259780.56399135	1322143.83574079	1552769.07139395
M683.5431	1732441.67345777	2525723.18668878	2647724.55411367
M685.4360	1190057.97079061	NA	1419229.5914531
M686.4051	32080808.6893522	28761754.7656157	25571217.8418349
M687.4083	13246103.1481081	13951215.1330508	8069238.27678928
M688.4118	2093118.85466739	1814091.46550962	NA
M689.0812	1476618.84097023	1741683.93653201	1913192.51839009
M689.3530	NA	1238431.80913389	1029803.46358456
M689.4022	4338568.86783822	3318258.17489864	4213005.6754478
M695.0984	1270154.44480474	1188530.68267335	999720.609375044
M703.4544	1462246.07443563	1816537.57340901	2642770.85961821
M703.5748	5102477.6908115	5274750.09273895	5185173.62570642
M704.3794	4977090.82171093	4766704.41426656	3927234.4710448
M704.5783	1626987.96032962	1669312.71186966	1387421.31251627
M705.0463	NA	861285.955446116	1134434.61817021
M705.3826	1789589.10109757	NA	1709645.14232354
M711.0633	NA	1036374.52712934	885481.220466106
M711.5745	14150222.1090017	14102404.5952038	15356903.5818177
M712.5779	5077242.5759118	5592716.57268192	6845985.16047672
M718.6320	4297488.07177764	2674413.24027353	3158446.37030282
M719.4284	NA	2127705.73067334	1707398.52119952
M725.5567	5531847.39784041	4899114.59155239	5881591.76830335
M726.5600	NA	1491636.74107451	1514588.19312526
M739.6058	13557326.9670239	16321329.2589389	16792318.9578223
M740.6091	5505462.91675326	7113386.17328623	6438361.71719427
M751.4289	3250491.94756132	4097881.10977438	2905108.52355567
M758.5692	24171669.9177599	26133048.4446723	29823488.7144675
M759.5727	11996299.5830951	12396459.816729	13725260.4161819
M760.5758	2312542.05691645	1797714.30089578	2433944.0644655
M760.5849	8704293.57954915	9171699.09361031	11678909.7038509
M760.5849_2	8704293.57954915	9171699.09361031	11678909.7038509
M761.5882	3494168.58240472	3623908.83475874	3517772.49370049
M780.5512	26678287.0199592	33917501.213975	35599330.0192635
M781.5548	13370049.3355155	6786254.01813485	17495405.1874264
M782.5673	8275387.67127943	13698705.3298253	14111642.4412243
M783.5710	5090990.23826268	2775887.5304272	6341089.95006743
M784.5848	5220940.29954109	4276780.46147111	6260943.09565952
M785.5880	1686702.15583167	2124120.66042257	1712214.24956577
M786.6004	10857162.7919506	8697613.9851878	12499433.8991773
M787.6038	4761674.55928992	5879054.35089474	7047984.21331802
M795.5018	2077762.78637069	NA	1907175.50675846
M796.5253	4271079.60468799	3501147.38860042	5343302.22793834
M796.5462	NA	2822281.02903116	3224036.730931
M804.5512	6633582.89013492	8165455.97185418	7470168.70212077
M805.5546	2438210.55855297	3663463.1635972	3764389.21632828
M806.5674	4467025.00798707	6619742.31219476	9583742.64770817
M807.5718	1352704.42256487	2936768.26498869	1887270.8950478
M808.5826	10891390.3423662	15794458.1878269	16077663.9695797
M809.5859	5995718.59407245	5735791.69055253	7082868.29906178
M810.6004	1864314.89593087	2348128.92155743	3928135.89388521
M813.6843	NA	773185.606064327	1241785.9308559
M828.5517	6912623.84509757	6836612.02012318	8339689.31073757
M829.5550	NA	2944009.16774303	4078158.50009707
M832.5827	2539235.67631783	3231564.93949998	3214890.3796771
M838.5642	2129171.20139942	2659697.24921949	2476264.53702713
M856.5830	5771894.46378455	6862482.35532919	6096656.68858823
M857.5866	2219552.55506141	2623050.99114286	2766548.52211978
M918.6157	2402815.01640448	NA	1809595.40049242
M934.6468	5786820.15496312	5970083.49633795	6293149.21279938
M935.6502	3318525.17212971	4159207.90254135	2994270.82759245
M952.6658	NA	1992166.49507342	1589196.0912281
