dataMatrix	C100a	C100b	C100c
M166.0777	22125685.817413	17020045.9961813	14865050.8012404
M166.0862	13613422.4740705	15176840.6954434	16013850.1459192
M166.5277	2440991.32429287	1943509.82843725	3164295.93056673
M167.0583	NA	NA	NA
M167.0811	1800524.00946359	1332206.80626526	1763891.70183255
M167.0855	1238507841.81479	1063539267.42343	962827484.697041
M167.1042	1129607.84703147	3266436.80780596	5219325.02725037
M168.0889	176100041.866373	152024176.045911	134893945.037034
M169.0922	7415486.81607202	5353079.89595166	5367910.78847167
M170.0424	3361449.74719705	4854651.84373392	4496513.88920189
M170.0924	2396103.07633561	2158494.56733188	2704637.92037521
M170.0964	NA	NA	NA
M172.0944	50591236.979718	48885474.9832646	47119718.3289317
M173.4723	13859166.4713853	13668744.9331348	13330980.0328761
M174.0386	23057140.0680147	21009559.3493582	17462798.9581687
M174.0549	105870547.446328	84021782.2310385	72779468.826741
M174.0913	54504571.7861772	41317230.1691637	36957129.2608857
M175.0314	29173751.999249	35426942.4168434	61103526.0376071
M175.0583	6962351.09294645	5285872.2885748	4797273.975556
M175.0947	5111351.48901319	1700424.10689431	2520244.57081003
M175.1101	3276332.95307957	2909517.88893837	2493633.99082218
M175.1189	7904771.93165319	8010259.29504753	8215686.94529975
M175.5330	2386862.19836901	2646118.50087746	4755174.32614505
M176.1030	NA	NA	NA
M176.1182	2760658939.64461	2534447410.33121	2357045187.34129
M176.1280	29014966.5807087	25279724.1580894	23885653.8115198
M177.0546	81832387.4684782	62712232.672612	55028070.2425498
M177.0869	20118338.2794236	20195769.0466831	22731899.7177496
M177.0982	73782297.6330994	60549348.9613602	52481258.0650673
M177.1152	22799864.8362571	18472356.6092875	17149773.3412587
M177.1215	304347938.605987	279689493.350112	259826168.827289
M177.1244	2091420.43879671	NA	1881525.32837183
M178.0579	5500826.77138872	4165703.4655105	3281839.05640024
M178.1015	1554003.90274412	913215.054233458	NA
M178.1249	9131484.57050345	7798237.2188937	6991561.73300907
M182.0811	5198877.72970979	6019080.13173341	5610511.06756802
M182.9023	545864.790988128	912845.212994516	NA
M185.0420	24081320.4850895	20126526.8259117	18582568.0503845
M187.0577	2133510.91371473	2871579.70769044	2618974.32768322
M187.0713	1483452.81240897	2505697.34775862	2822094.18746286
M188.0683	2769750.09629821	2131163.5729647	2156178.8851821
M188.0706	5269989.80528338	6047168.1920442	6731254.41834175
M189.0871	4785226.92598933	3595918.60908169	5992557.52398604
M190.0125	10295932.2405152	9607649.36925905	9132128.92682541
M190.1437	2817753.69982248	2572695.88046103	2333382.11128631
M191.0766	NA	NA	NA
M191.1026	513041.871609603	NA	378446.683780134
M192.0243	2653147.81390215	3510941.57758833	3064661.37322575
M194.1387	8765556.31470926	7569486.57212612	6572423.70630935
M195.0459	4077912.28115511	3802666.0447295	NA
M196.0205	3714808.17068011	2896990.80770834	2545102.61498448
M196.0369	39939546.5456877	36946530.2608331	32694508.3364005
M196.8650	3121052.64774075	3960270.49619032	3282948.368046
M196.9886	1154804.67077116	1247852.18181714	NA
M197.0402	2251124.08045988	2487840.79144093	2006343.65607698
M197.0430	942984.065065078	NA	1235941.82547168
M197.0788	NA	NA	NA
M198.0972	1748028.6578216	1950082.52470439	1802278.37084008
M198.1001	1575083.89667393	1784584.64167917	1429627.66860902
M198.8621	2906607.78979286	3177943.87356267	3126032.04089236
M199.0365	65212006.3839333	63384204.0494627	57459016.618973
M199.0689	420170.044692464	677364.940902661	463980.274226126
M199.0801	6796619.02505233	5434853.51212979	4963136.36054024
M200.0399	3715381.64261371	3697382.19088249	3729073.81968567
M202.9759	NA	NA	NA
M203.0102	NA	2694191.18454253	3076372.22780162
M203.0526	200126612.570594	234715270.211728	230864660.345688
M204.0560	8215553.57023436	9451665.64521418	10183092.8178458
M204.1230	268626508.008745	235322784.5912	213670174.111007
M205.0970	6519672.62576889	5707929.23145184	6990633.82660943
M205.1263	18232814.7440697	14602018.878559	13771147.3215659
M206.1386	24419703.4414756	18885094.2314635	14868113.5512195
M206.8938	8643671.5459021	8911417.80773421	9027286.12800464
M207.0239	3553010.76982527	2564365.23456527	2606982.37084791
M208.8909	5826778.61034737	4920139.36821972	5736447.95107834
M211.0940	55017136.1706483	45341026.8792336	41411232.2100951
M212.0974	3362446.99151837	3133099.98447595	1461760.12011745
M214.0062	3153032.82320461	2879896.55421943	3133660.77151453
M214.9992	1462922.94461892	1709069.70813081	3252979.59249925
M215.0105	3487125.89129336	4441305.40042988	3616248.37291089
M215.0282	7652234.01350933	3627665.53467947	8434051.37532151
M215.0496	2128564.10572854	1353291.95509538	NA
M215.0535	NA	NA	NA
M216.1018	2825623.75929819	2951426.25066665	2326613.82985331
M216.1206	8880087.0416046	8879776.06695875	8487992.17325025
M216.9226	21339027.0540295	22989402.8669789	22848842.5742847
M218.0188	6331667.36352683	5489279.41239518	5405488.43937686
M218.1386	26900417.0547187	23468765.7086353	22167211.4255384
M218.9197	5431160.21566889	5700707.12837848	6064284.7387276
M219.0265	40457118.6017755	48865872.3144214	52725256.9665775
M219.1128	19041755.0173782	14172253.0376764	13442204.3954207
