variableMetadata	mzMed	mzMin	mzMax	sizeSamp	scanMin	scanMax	nPeaks	meanSolvent	timeShifted	signalOverSolventPvalueMean	corSampPeakMean	corSampPeakSd	signalOverSolventRatioMean	variableID
M203.0526	203.052636458382	203.052124023438	203.052947998047	72.5	15	92	4	14112.7098510742	0	0	0.944076726762585	0.0017111012602857	405.018606693578	M203.0526
M204.0560	204.055967305501	204.0556640625	204.056289672852	68	15	86	3	0	0	0	0.815099120310508	0.0366719940862882	Inf	M204.0560
M204.1230	204.123043327754	204.122756958008	204.12336730957	85	15	108	3	1354.35956488715	0	0	0.939721046128366	0.0464549583547598	Inf	M204.1230
M205.0970	205.097007017869	205.096008300781	205.097381591797	75	15	95	3	0	0	0	0.666541851761703	0.0348511463234515	Inf	M205.0970
M205.1263	205.126291138785	205.125579833984	205.126617431641	71	15	94	3	0	0	0	0.809687220734171	0.0773176366936445	Inf	M205.1263
M206.1386	206.138588686755	206.138000488281	206.138931274414	73	15	90	3	0	0	0	0.844315907018795	0.071297092019492	Inf	M206.1386
M206.8938	206.893815530313	206.89338684082	206.894119262695	62	15	83	3	0	0	0	0.864046928779796	0.0387033959858906	Inf	M206.8938
M207.0239	207.023904123614	207.023620605469	207.024200439453	62	15	85	3	0	0	0	0.633820584376377	0.185796656840067	Inf	M207.0239
M208.8909	208.89089457194	208.890625	208.891250610352	57	15	83	3	0	0	0	0.761102642268254	0.0548273863690746	Inf	M208.8909
M211.0940	211.094031484186	211.093704223633	211.09440612793	67	17	85	3	11847.0832922557	0	0	0.94218553840994	0.0181479924319139	134.659407398084	M211.0940
M212.0974	212.097373818452	212.097076416016	212.097839355469	62	15	86	3	0	0	0	0.501648107058874	0.289125877033954	Inf	M212.0974
M214.0062	214.006180612664	214.005905151367	214.006561279297	60	17	85	3	0	0	0	0.593688655880784	0.115334499191875	Inf	M214.0062
M214.9992	214.999152572043	214.998764038086	214.999801635742	110	26	217	3	0	1	0	NA	NA	Inf	M214.9992
M215.0105	215.010466257731	215.010162353516	215.010879516602	60	18	84	3	0	0	0	0.699422675453483	0.0269425263516813	Inf	M215.0105
M215.0282	215.028246912964	215.027526855469	215.028579711914	210	36	251	2	0	1	0	NA	NA	Inf	M215.0282
M215.0496	215.049569712057	215.049255371094	215.049987792969	66.5	16	89	2	0	0	0	0.346476718408768	0.0358200663981967	Inf	M215.0496
M216.1018	216.10184173584	216.101318359375	216.102203369141	63	20	88	3	0	0	0	0.588005907308724	0.180677455312295	Inf	M216.1018
M216.1206	216.120568980341	216.11979675293	216.121017456055	61	15	83	3	0	0	0	0.605756846029449	0.0155376123600596	Inf	M216.1206
M216.9226	216.922641261931	216.922286987305	216.923126220703	59	15	102	3	3863.24916294643	0	0	0.883502322023227	0.0544529422984712	Inf	M216.9226
M218.0188	218.018786690452	218.018371582031	218.019134521484	66	15	85	3	0	0	0	0.780990761799906	0.039577165699563	Inf	M218.0188
M218.1386	218.138616021474	218.138244628906	218.139144897461	68	15	93	3	0	0	0	0.889281541025843	0.0282512781287317	Inf	M218.1386
M218.9197	218.91968863351	218.919250488281	218.920166015625	59	15	93	3	0	0	0	0.763786860854613	0.0455011920381655	Inf	M218.9197
M219.0265	219.026487236414	219.025848388672	219.026916503906	65	15	84	3	0	0	0	0.932833069203887	0.0230413784601731	Inf	M219.0265
M219.1128	219.11275050572	219.112411499023	219.113159179688	75	15	91	3	0	0	0	0.836340172826654	0.0308036554395283	Inf	M219.1128
M221.0621	221.062054656273	221.061630249023	221.062469482422	67	15	87	3	0	0	0	0.657434367746995	0.11683042763755	Inf	M221.0621
M222.8677	222.867747658177	222.867294311523	222.868179321289	59	21	84	3	0	0	0	0.744456436588026	0.0549452491048713	Inf	M222.8677
M223.0636	223.063621252355	223.063186645508	223.064010620117	64	15	88	3	11613.8571027968	0	0	0.885786269650905	0.0271423103990608	83.4255741879926	M223.0636
M223.0753	223.075327825885	223.074966430664	223.075607299805	73	15	98	3	9623.95711840243	0	0	0.960733627023954	0.00678310724863269	1120.71202082695	M223.0753
M223.0940	223.093977265011	223.093536376953	223.094345092773	70	20	90	1	11442.7874450684	0	0	0.2038598161117	NA	4.82178511105801	M223.0940
M224.0335	224.033522722467	224.033142089844	224.033966064453	199	36	251	3	0	1	0	NA	NA	Inf	M224.0335
M224.0561	224.056144519545	224.055511474609	224.056427001953	126	64	190	1	6528.83775745739	1	0	NA	NA	5.44246705766973	M224.0561
M224.0632	224.063166381982	224.062850952148	224.063598632812	65	15	85	2	0	0	0	0.513976358043114	0.0200597963683375	Inf	M224.0632
M224.0786	224.078640783257	224.078216552734	224.079055786133	71	15	88	3	1828.75838216146	0	0	0.927734323275736	0.0143296281292473	Inf	M224.0786
M224.8648	224.864822998047	224.864379882812	224.865234375	62	15	88	3	0	0	0	0.640641603842189	0.0465787389078355	Inf	M224.8648
M225.0345	225.034489246125	225.033798217773	225.034942626953	67	15	86	3	0	0	0	0.657181820248158	0.0490587491219638	Inf	M225.0345
M225.0429	225.042862011137	225.042449951172	225.04328918457	61	15	83	3	35649.22234892	0	5.094364925462e-07	0.588130564299368	0.15995784327559	4.72775166478849	M225.0429
M225.0820	225.082030785353	225.08171081543	225.08251953125	60.5	21	84	2	0	0	0	0.453315150408805	0.0406324126072152	Inf	M225.0820
M226.9514	226.95143281168	226.951080322266	226.951782226562	84	15	100	3	116883.42754736	0	0	0.836665274549141	0.0377519099639247	6.36317016175823	M226.9514
M227.0680	227.067966938019	227.067489624023	227.068313598633	60	18	86	3	0	0	0	0.50749131668725	0.147117384605047	Inf	M227.0680
M228.1206	228.120551333216	228.120101928711	228.12092590332	68	17	86	3	0	0	0	0.956538327244254	0.0122308250705387	Inf	M228.1206
M229.1239	229.123866347016	229.123016357422	229.124282836914	65	15	87	3	4900.57325236003	0	0	0.843635188390891	0.0161416476055893	Inf	M229.1239
M232.8966	232.896563586647	232.896224975586	232.897033691406	59	15	83	3	0	0	0	0.860269538937308	0.0407257394010553	Inf	M232.8966
M233.0388	233.038804362591	233.038314819336	233.039337158203	127	36	181	3	0	1	0	NA	NA	Inf	M233.0388
M233.0759	233.075946745325	233.075546264648	233.076278686523	62	15	83	3	0	0	0	0.828525238299785	0.0304764079284602	Inf	M233.0759
M233.1284	233.128387451172	233.127899169922	233.128753662109	71	15	99	3	0	0	0	0.944287607560826	0.0110487416906422	Inf	M233.1284
M234.1317	234.131736564636	234.131286621094	234.132186889648	69	15	88	3	0	0	0	0.61828386925495	0.0667332680284812	Inf	M234.1317
M234.8936	234.893608786843	234.893127441406	234.893997192383	59	15	103	3	0	0	0	0.622706962808476	0.00444521685121811	Inf	M234.8936
M235.0924	235.092394360041	235.092178344727	235.092758178711	114	22	251	3	0	1	0	NA	NA	Inf	M235.0924
M236.0958	236.095764994064	236.095275878906	236.096145629883	120	26	168	2	0	1	0	NA	NA	Inf	M236.0958
M239.1257	239.125745511646	239.124923706055	239.126266479492	99	29	134	2	0	0	0	-0.350925841864314	0.288731512390006	Inf	M239.1257
M241.0947	241.094685003999	241.094314575195	241.095108032227	66	15	88	3	0	0	0	0.949496726942426	0.0174353484484032	Inf	M241.0947
M242.0980	242.09803314209	242.097534179688	242.09846496582	64	15	86	3	0	0	0	0.862233520158484	0.0326813779878963	Inf	M242.0980
M242.9254	242.925358717354	242.924774169922	242.925811767578	64	15	84	3	12465.6762039484	0	0	0.779871145035628	0.0194473311494429	22.6760722155936	M242.9254
M244.0945	244.094495160864	244.094009399414	244.094879150391	69	15	95	3	0	0	0	0.884657438808458	0.0285593196794991	Inf	M244.0945
M245.0572	245.057208082411	245.056838989258	245.0576171875	68	15	84	3	0	0	0	0.957820864307731	0.0354493288908224	Inf	M245.0572
M246.0606	246.060577593352	246.059997558594	246.061065673828	65	15	85	3	0	0	0	0.907735467605036	0.0321751600389932	Inf	M246.0606
M247.0924	247.092399044313	247.091888427734	247.092910766602	105	15	131	3	0	0	0	-0.652959200263145	0.0769586628173353	Inf	M247.0924
M249.0455	249.04546684852	249.044998168945	249.045928955078	87	16	114	3	0	0	0	-0.223669411831335	0.20995156440691	Inf	M249.0455
M249.1572	249.157238515218	249.156814575195	249.157653808594	61	15	85	3	0	0	0	0.465122581206758	0.108791536509658	Inf	M249.1572
M251.0702	251.070204514724	251.069854736328	251.070709228516	61	19	88	3	0	0	0	0.469770850482602	0.0933248109100543	Inf	M251.0702
M254.8237	254.823678236741	254.823272705078	254.824142456055	61	18	85	3	0	0	0	0.735554399055154	0.0361964993239909	Inf	M254.8237
M255.0580	255.057967049735	255.0576171875	255.058441162109	59	15	82	3	0	0	0	0.603468706388998	0.0521034585685932	Inf	M255.0580
M255.1034	255.103368568764	255.102813720703	255.103912353516	94	23	124	2	0	1	0	NA	NA	Inf	M255.1034
M255.1103	255.110333485822	255.109832763672	255.110778808594	66	15	86	3	0	0	0	0.960224775725485	0.0287928925908026	Inf	M255.1103
M256.1137	256.113688441685	256.113159179688	256.114288330078	69	15	95	3	0	0	0	0.902543615709624	0.0128550126346476	Inf	M256.1137
M256.1695	256.169512115256	256.168853759766	256.169860839844	69	16	89	3	1718.33468967014	0	0	0.979703268441997	0.0130103923898197	Inf	M256.1695
M256.8207	256.820715904236	256.820220947266	256.821075439453	63	15	86	3	0	0	0	0.831803873895279	0.012824556183726	Inf	M256.8207
M257.0461	257.046078752654	257.045593261719	257.046661376953	122	15	215	3	0	1	0	NA	NA	Inf	M257.0461
M257.0686	257.068607449001	257.068176269531	257.069122314453	66	15	83	3	0	0	0	0.902306705637932	0.0336115347606022	Inf	M257.0686
M257.0743	257.074324640735	257.073883056641	257.074829101562	100	20	127	3	0	0	0	-0.640331409406955	0.0496414914508057	Inf	M257.0743
M257.1729	257.172869159329	257.171875	257.173370361328	74	15	95	3	0	0	0	0.973387359498449	0.0114929674263386	Inf	M257.1729
M258.0719	258.071938539163	258.071502685547	258.072387695312	64	15	83	3	0	0	0	0.450404768381641	0.116898796504592	Inf	M258.0719
M258.1763	258.176298092573	258.175903320312	258.1767578125	69	16	87	3	0	0	0	0.782534332018059	0.040316997388809	Inf	M258.1763
M258.1851	258.185135837876	258.184844970703	258.185394287109	82	16	102	3	4704.3083437965	0	0	0.97833135817941	0.00697890479810008	Inf	M258.1851
M259.1885	259.188493030476	259.188110351562	259.188995361328	75	16	95	3	0	0	0	0.968060365339941	0.0068117197482559	Inf	M259.1885
M260.1644	260.164407248026	260.163696289062	260.164764404297	71	16	98	3	3219.91322835286	0	0	0.972554092370388	0.00639637678884957	Inf	M260.1644
M260.1855	260.185503230375	260.185211181641	260.186004638672	86	15	106	3	0	0	0	0.969385722340844	0.0197623760588094	Inf	M260.1855
M260.1917	260.191717465719	260.191253662109	260.192291259766	74	15	95	3	0	0	0	0.775273981061915	0.0292108331078483	Inf	M260.1917
M261.0111	261.011081471163	261.010711669922	261.011566162109	67	17	86	3	0	0	0	0.707936384079542	0.0421172766328996	Inf	M261.0111
M261.0307	261.030669621059	261.030029296875	261.031341552734	62	15	85	3	10039.268097602	0	0	0.835947728930436	0.0248604296685568	42.237342557722	M261.0307
M261.1615	261.1614717756	261.161193847656	261.161865234375	63	20	83	1	0	0	0	0.335880155127203	NA	Inf	M261.1615
M261.1677	261.167745675614	261.167358398438	261.168121337891	74	16	98	3	0	0	0	0.964865818184337	0.00917789831731377	Inf	M261.1677
M261.1889	261.188866525326	261.188415527344	261.189392089844	70	17	95	3	0	0	0	0.940211244546715	0.0243866998405637	Inf	M261.1889
M262.1698	262.169838049626	262.167877197266	262.171569824219	62.5	15	87	6	0	0	0	0.581313517316994	0.261068885486645	Inf	M262.1698
M262.1910	262.190960087375	262.189331054688	262.192626953125	62	16	100	6	0	0	0	0.593683588843677	0.107344654717426	Inf	M262.1910
M263.0560	263.056048126285	263.055480957031	263.056732177734	69	15	86	3	8638.6852080374	0	0	0.942886757472311	0.0291943146765569	455.20842307441	M263.0560
M264.0556	264.055600827879	264.055023193359	264.056060791016	69	15	86	3	0	0	0	0.779930229561617	0.109578798897497	Inf	M264.0556
M264.0594	264.059358799096	264.058868408203	264.059783935547	65	15	85	2	0	0	0	0.679887666201834	0.0578312526674083	Inf	M264.0594
M264.8525	264.852476640181	264.851959228516	264.852905273438	62	15	82	2	0	0	0	0.516466205662177	0.0175369568203492	Inf	M264.8525
M265.0230	265.022975569722	265.022521972656	265.0234375	98	16	118	3	6617.0251200532	0	0	-0.491181093893312	0.136630799889563	84.6855698038186	M265.0230
M265.0529	265.052898551844	265.05224609375	265.053436279297	69	15	86	3	0	0	0	0.694724345016025	0.169087826564732	Inf	M265.0529
M267.2682	267.268156571822	267.267639160156	267.268676757812	68	17	95	3	1820.58502604167	0	0	0.30883521603862	0.196600057085147	Inf	M267.2682
M267.6469	267.646914598419	267.646392822266	267.647430419922	97	16	122	3	0	0	0	-0.301996356580302	0.18922208923355	Inf	M267.6469
M269.1244	269.124350289318	269.123870849609	269.124877929688	73	15	95	3	0	0	0	0.727609916111735	0.0809015215389905	Inf	M269.1244
M270.1277	270.127682721173	270.126831054688	270.128204345703	71	15	89	3	0	0	0	0.362944037104998	0.186772341319877	Inf	M270.1277
M270.9777	270.977668674513	270.977172851562	270.978118896484	64	16	95	2	2294.15014648438	0	0	0.515414367362799	0.0660036513447277	Inf	M270.9777
M271.0400	271.039990792314	271.039276123047	271.040405273438	66	15	82	3	0	0	0	0.542958551414855	0.01482994533701	Inf	M271.0400
M271.0843	271.084252414933	271.083770751953	271.084991455078	64	15	87	3	0	0	0	0.926622479449103	0.0265275379785122	Inf	M271.0843
M272.0876	272.087589808873	272.087097167969	272.088348388672	58	15	100	3	0	0	0	0.66732260442187	0.0952669767027442	Inf	M272.0876
M272.2008	272.200789468813	272.200439453125	272.201263427734	70	15	90	3	7338.14730756711	0	0	0.98071694502871	0.0129031091217155	9556.62337005081	M272.2008
M273.0393	273.039318885332	273.038879394531	273.039733886719	85.5	41	220	2	0	1	0	NA	NA	Inf	M273.0393
M273.1979	273.197850114208	273.197204589844	273.198547363281	63	15	86	3	0	0	0	0.691682129417894	0.0216364610460332	Inf	M273.1979
M273.2041	273.204133426442	273.203765869141	273.204467773438	70	15	89	3	0	0	0	0.976796177052042	0.0158938175516147	Inf	M273.2041
M274.2012	274.201150621686	274.200622558594	274.201690673828	69	15	86	3	0	0	0	0.711030243182796	0.120479959549501	Inf	M274.2012
M274.2075	274.207470345372	274.204467773438	274.2080078125	66.5	15	86	4	0	0	0	0.772891892011978	0.266118223108064	Inf	M274.2075
M278.1514	278.15140575367	278.150756835938	278.152099609375	67	15	85	3	0	0	0	0.912457354383796	0.0163924297965531	Inf	M278.1514
M278.8931	278.893061363521	278.892456054688	278.893615722656	68	16	86	2	3332.55897352431	0	0.00181232302581946	0.159139159787058	0.0065214331045932	Inf	M278.8931
M279.0300	279.029954855783	279.029327392578	279.030578613281	64	15	84	3	0	0	0	0.725294407420225	0.149733475982527	Inf	M279.0300
M279.0562	279.056217655305	279.055786132812	279.056671142578	84.5	21	125	2	0	0	0	-0.376404915843871	0.161705730014193	Inf	M279.0562
M279.1547	279.154725916245	279.153991699219	279.1552734375	59	20	85	3	0	0	0	0.704734875156905	0.0538416148191433	Inf	M279.1547
M282.1463	282.14634503505	282.145812988281	282.146942138672	64	15	86	3	0	0	0	0.884330401509701	0.0294718449291496	Inf	M282.1463
M282.1674	282.167447310228	282.166870117188	282.168304443359	64	15	86	3	0	0	0	0.824084016256323	0.0239801465636425	Inf	M282.1674
M282.2790	282.27901474973	282.278472900391	282.279449462891	72	16	95	3	8530.30525338558	0	0	0.937191111562235	0.0372508706912248	714.808312036316	M282.2790
M283.2631	283.263055974787	283.262603759766	283.263549804688	130	54	184	1	10012.9790649414	1	0	NA	NA	1.97755446610796	M283.2631
M283.2824	283.282374493216	283.281829833984	283.282928466797	76	15	95	3	0	0	0	0.846032589841107	0.0748111386785439	Inf	M283.2824
M284.2858	284.285754047262	284.285308837891	284.286224365234	65.5	17	95	2	0	0	0	0.250424176224697	0.108519661333817	Inf	M284.2858
M284.2947	284.294684332771	284.294097900391	284.295288085938	68	15	100	3	8697.04125382358	0	0	0.703042709746545	0.0847539809508748	26.5420846997177	M284.2947
M285.0756	285.075603214118	285.074920654297	285.076141357422	69	15	102	3	0	0	0	0.912402726791528	0.0422194220816159	Inf	M285.0756
M286.0790	286.079012552897	286.078521728516	286.079681396484	79	15	100	3	0	0	0	0.688549635890561	0.106759764144963	Inf	M286.0790
M287.0550	287.054964773996	287.054016113281	287.055603027344	107	19	133	3	0	0	0	-0.604767818750262	0.0276368647321742	Inf	M287.0550
M290.0910	290.091025108148	290.090393066406	290.091583251953	88	17	113	3	0	0	0	-0.397572585740015	0.15694463433228	Inf	M290.0910
M290.1750	290.174968362712	290.174499511719	290.175476074219	69	16	92	3	9222.12160681522	0	0	0.974214587032073	0.00790763372359114	3427.11900613143	M290.1750
M291.1063	291.106261863962	291.105743408203	291.106811523438	69	17	87	3	0	0	0	0.687480622862085	0.0728316776962264	Inf	M291.1063
M291.1783	291.178341583064	291.177978515625	291.178955078125	69	16	86	3	0	0	0	0.971040102233651	0.00657726450552027	Inf	M291.1783
M292.1805	292.180474308032	292.178680419922	292.182159423828	65.5	15	100	6	0	0	0	0.677964022218601	0.152938691992199	Inf	M292.1805
M293.0978	293.097803299952	293.097381591797	293.098022460938	109	20	133	3	0	0	0	-0.738374692689121	0.0128617717280595	Inf	M293.0978
M294.0949	294.094884530584	294.09375	294.095520019531	103	18	130	3	0	0	0	-0.718620060980493	0.0543008138163631	Inf	M294.0949
M294.1011	294.101138822494	294.100616455078	294.101501464844	109	20	136	3	0	0	0	-0.723984267460415	0.0197720795122826	Inf	M294.1011
M295.1032	295.103219506706	295.101165771484	295.105285644531	106.5	15	133	6	0	1	0	NA	NA	Inf	M295.1032
M296.0238	296.023769516199	296.023132324219	296.024444580078	72	15	98	3	0	0	0	0.837481454758044	0.0682000458059695	Inf	M296.0238
M296.1053	296.105331856864	296.104766845703	296.106048583984	104	19	131	3	0	0	0	-0.579800657687296	0.140225417833447	Inf	M296.1053
M297.0271	297.027119524726	297.026489257812	297.027679443359	58	17	82	2	0	0	0	0.545466570545896	0.0665390312796561	Inf	M297.0271
M298.0208	298.020847440516	298.020172119141	298.021545410156	68	15	100	3	0	0	0	0.76959330711173	0.06691341932866	Inf	M298.0208
M300.2896	300.289557762969	300.289001464844	300.290222167969	84	16	102	3	3993.65095486111	0	0	0.911605943030183	0.0560402932330356	Inf	M300.2896
M301.2929	301.292914130471	301.292297363281	301.293609619141	71	15	95	3	0	0	0	0.835572962099872	0.0665732695657392	Inf	M301.2929
M302.2324	302.232421488702	302.231536865234	302.233001708984	70	16	90	3	0	0	0	0.859704479807853	0.0242915392411606	Inf	M302.2324
M302.2963	302.296271690956	302.296051025391	302.296600341797	61	16	77	1	0	0	0	0.221095595962432	NA	Inf	M302.2963
M302.3052	302.305191321567	302.304595947266	302.305847167969	81	16	99	3	0	0	0	0.923774708766103	0.0283367596765204	Inf	M302.3052
M303.3085	303.308543604073	303.307830810547	303.309234619141	75	16	100	3	0	0	0	0.81847282185543	0.0561010135385972	Inf	M303.3085
M304.2609	304.260930287032	304.260192871094	304.261596679688	68	16	91	3	2627.04378255208	0	0	0.971682933667005	0.0199649865466818	Inf	M304.2609
M305.1029	305.102938175201	305.102142333984	305.103576660156	62	15	83	3	0	0	0	0.827801583296211	0.0721483078632151	Inf	M305.1029
M305.2643	305.264281065568	305.263702392578	305.264923095703	70	15	88	3	0	0	0	0.887781577287339	0.0240708191164681	Inf	M305.2643
M307.0575	307.057541463385	307.056976318359	307.058166503906	68	16	91	3	0	0	0	0.94694437778772	0.00852250151180465	Inf	M307.0575
M308.0609	308.060885985032	308.060302734375	308.0615234375	66	15	83	3	0	0	0	0.780175887675154	0.0300055928005748	Inf	M308.0609
M309.1120	309.111985817934	309.111419677734	309.112701416016	73	15	93	3	0	0	0	0.963782934832841	0.00867253590320014	Inf	M309.1120
M310.1153	310.115343134454	310.11474609375	310.115936279297	70	17	88	3	0	0	0	0.875097984516374	0.0246210495313116	Inf	M310.1153
M312.1569	312.156864149306	312.156005859375	312.157501220703	69	15	88	3	0	0	0	0.871683484613335	0.0250421547027869	Inf	M312.1569
M313.0882	313.088185128469	313.087615966797	313.088714599609	63	18	87	2	0	0	0	0.477674035652706	0.164142546665668	Inf	M313.0882
M313.2736	313.273577284112	313.273040771484	313.273986816406	74.5	15	100	4	34666.6254674575	0	0	0.808296404316534	0.068288676658853	21.6318354776517	M313.2736
M314.2769	314.276949081186	314.276336669922	314.277587890625	75	15	100	3	7248.94409401633	0	5.15143483426073e-14	0.471872644305856	0.0990761262398823	19.8069194648444	M314.2769
M315.0673	315.067252431017	315.066131591797	315.067779541016	114	17	251	3	0	1	0	NA	NA	Inf	M315.0673
M315.0797	315.079722243089	315.079376220703	315.080078125	97	20	126	3	0	0	0	-0.573883696198596	0.0752860949750239	Inf	M315.0797
M316.0680	316.067990880434	316.067169189453	316.071075439453	109	16	246	5	0	1	0	NA	NA	Inf	M316.0680
M316.0767	316.076728489088	316.076141357422	316.077362060547	96	21	126	3	0	0	0	-0.58735440745845	0.033555121550996	Inf	M316.0767
M316.0831	316.083050287986	316.082489013672	316.083770751953	98	21	124	3	0	0	0	-0.638949025550419	0.0408396387785728	Inf	M316.0831
M317.0558	317.055839130986	317.05517578125	317.056457519531	183	16	220	2	0	1	0	NA	NA	Inf	M317.0558
M317.0647	317.064702914908	317.064025878906	317.0654296875	112.5	24	139	2	0	0	0	-0.672559508091404	0.0230440503667791	Inf	M317.0647
M317.0851	317.085144083114	317.083312988281	317.086944580078	96.5	19	126	6	0	0	0	-0.558443619158537	0.0762089904449284	Inf	M317.0851
M318.0057	318.005737848374	318.005126953125	318.00634765625	66	16	86	3	0	0	0	0.942363041685255	0.0171327006673341	Inf	M318.0057
M318.3001	318.300079321521	318.299530029297	318.300720214844	79	15	100	3	0	0	0	0.893021352371574	0.0579817307170426	Inf	M318.3001
M319.0091	319.009081522624	319.008087158203	319.009948730469	63	17	87	3	0	0	0	0.754869630656135	0.066262155747055	Inf	M319.0091
M319.3035	319.303450091158	319.302673339844	319.304351806641	77	15	98	3	0	0	0	0.803567795163519	0.0613504537818142	Inf	M319.3035
M320.0027	320.002745439662	320.002014160156	320.003631591797	71	15	89	3	0	0	0	0.899845664437261	0.0149224674292795	Inf	M320.0027
M320.2348	320.234845977469	320.233947753906	320.235595703125	65	16	85	3	0	0	0	0.852008909971533	0.0384151863889893	Inf	M320.2348
M320.3068	320.306771172418	320.306182861328	320.307525634766	63	18	87	3	0	0	0	0.384942566566787	0.22229740629885	Inf	M320.3068
M321.0061	321.006094932556	321.005340576172	321.006652832031	64	15	85	3	0	0	0	0.517899955619424	0.00562414195416272	Inf	M321.0061
M321.9998	321.999801347841	321.998809814453	322.000335693359	64	15	83	3	0	0	0	0.610237100172795	0.0503699209769481	Inf	M321.9998
M322.2715	322.271484129071	322.270751953125	322.272277832031	66	15	87	3	7780.40268192998	0	0	0.890465314968024	0.0107661105691018	149.961326772622	M322.2715
M323.0314	323.0314453125	323.030792236328	323.032135009766	69	15	85	3	0	0	0	0.905070851929101	0.0274312921339468	Inf	M323.0314
M323.0560	323.055979853091	323.055084228516	323.059509277344	114	17	184	3	0	1	0	NA	NA	Inf	M323.0560
M323.2748	323.274803357247	323.273986816406	323.275390625	66	15	95	3	0	0	0	0.655254768267785	0.0888128586725693	Inf	M323.2748
M324.0347	324.034748650476	324.0341796875	324.035308837891	64	15	84	2	0	0	0	0.326252352349761	0.0640947229578768	Inf	M324.0347
M324.2871	324.287128337799	324.286285400391	324.287811279297	64	15	84	3	0	0	0	0.892703469677159	0.0114148942884942	Inf	M324.2871
M325.2347	325.23473142228	325.234008789062	325.235443115234	61	15	82	3	1481.51774088542	0	0	0.413962479834876	0.26657680904818	Inf	M325.2347
M325.2905	325.290455693784	325.289459228516	325.291351318359	64	15	86	3	0	0	0	0.562958385960989	0.149603410661501	Inf	M325.2905
M329.2586	329.258562554253	329.258178710938	329.259124755859	71	16	95	3	0	0	0	0.968203507910986	0.0100866691176054	Inf	M329.2586
M330.2556	330.255602323092	330.254913330078	330.256256103516	60	17	87	3	0	0	0	0.585270805662716	0.162137471359601	Inf	M330.2556
M330.2619	330.261929867872	330.261138916016	330.262481689453	76	15	95	3	0	0	0	0.954302318010004	0.0149544778338931	Inf	M330.2619
M331.0447	331.0447165856	331.044311523438	331.045349121094	105	21	129	3	0	0	0	-0.716355961261176	0.0193808322283714	Inf	M331.0447
M331.0535	331.053544622827	331.052795410156	331.054351806641	91	19	118	3	0	0	0	-0.544144570816365	0.116692809270239	Inf	M331.0535
M331.0939	331.093872070313	331.093200683594	331.094604492188	66	15	91	3	0	0	0	0.970865169192002	0.0154735974812831	Inf	M331.0939
M331.2652	331.265222059942	331.264343261719	331.266021728516	68	15	86	3	0	0	0	0.831431415736863	0.0878605864968257	Inf	M331.2652
M331.2841	331.284076183826	331.283355712891	331.284606933594	73	15	95	5	32509.6523547603	0	0	0.859058542942803	0.0408199549157926	26.2920074698221	M331.2841
M331.5463	331.546342116136	331.545288085938	331.547027587891	111	21	138	3	0	0	0	-0.485063973642038	0.173839863535148	Inf	M331.5463
M332.0418	332.041776103358	332.041046142578	332.042419433594	108	17	181	3	0	1	0	NA	NA	Inf	M332.0418
M332.0481	332.048054194105	332.047485351562	332.048645019531	110	23	137	2	0	0	0	-0.710133892525604	0.0269979794577137	Inf	M332.0481
M332.0569	332.056944504624	332.056060791016	332.057708740234	92	18	119	3	0	0	0	-0.545273726276425	0.0512791205511834	Inf	M332.0569
M332.0972	332.097214825385	332.096405029297	332.097839355469	67	16	86	3	0	0	0	0.923319593872255	0.0130935723809641	Inf	M332.0972
M332.2875	332.287466822013	332.286468505859	332.288299560547	68	15	95	3	8470.60288369535	0	0	0.401490008401767	0.283443588702117	18.9718459985342	M332.2875
M333.0408	333.040790153952	333.039672851562	333.041564941406	109	20	211	3	0	1	0	NA	NA	Inf	M333.0408
M333.0503	333.050264259411	333.048095703125	333.052368164062	98	15	135	6	0	1	0	NA	NA	Inf	M333.0503
M333.1005	333.100543848674	333.099884033203	333.101165771484	63	15	84	2	0	0	0	0.561431658693843	0.0446565753685329	Inf	M333.1005
M333.9797	333.979663555439	333.979034423828	333.980194091797	61	17	87	3	0	0	0	0.806199284408705	0.0493063187422201	Inf	M333.9797
M335.0376	335.03756484165	335.036590576172	335.038299560547	100	19	130	3	0	0	0	-0.665659439726892	0.0622134840039248	Inf	M335.0376
M335.9767	335.976703811273	335.97607421875	335.977325439453	62	20	87	2	0	0	0	0.624661791283787	0.178469267115088	Inf	M335.9767
M337.0491	337.04912382453	337.048370361328	337.050018310547	102	21	128	3	0	0	0	-0.656590786962692	0.0482051531648335	Inf	M337.0491
M337.0616	337.061635180571	337.060821533203	337.062255859375	87	20	116	3	0	0	0	-0.144377605548833	0.109621544572579	Inf	M337.0616
M337.0748	337.074819664798	337.074005126953	337.075561523438	62	15	82	3	6171.21083577474	0	0	0.558039373415425	0.313159620422066	34.4884826990781	M337.0748
M338.0650	338.06500050127	338.064208984375	338.065734863281	88	15	111	3	0	0	0	-0.137892350070983	0.253727773344835	Inf	M338.0650
M338.2454	338.245404557536	338.244842529297	338.246154785156	60.5	16	82	2	0	0	0	0.544795195685743	0.0244171624385061	Inf	M338.2454
M338.3415	338.341543276324	338.340850830078	338.342376708984	75	16	100	4	10077.1590200571	0	0	0.841006606386123	0.052079205601978	128.588569325742	M338.3415
M339.0378	339.037791965693	339.036987304688	339.038726806641	195	15	246	3	0	1	0	NA	NA	Inf	M339.0378
