variableMetadata	mzMed	mzMin	mzMax	sizeSamp	scanMin	scanMax	nPeaks	meanSolvent	timeShifted	signalOverSolventPvalueMean	corSampPeakMean	corSampPeakSd	signalOverSolventRatioMean	variableID
M121.0509	121.050878791428	121.050361633301	121.051528930664	69	16	96	6	3062.48471498843	0	0	0.964045930197221	0.00744208367262375	Inf	M121.0509
M121.8984	121.898391299778	121.897850036621	121.899024963379	65	24	89	1	4916.5194266183	0	0	0.150298037250412	NA	16.1120614232396	M121.8984
M121.9029	121.902906116686	121.902374267578	121.903312683105	59	26	85	1	3044.36539713542	0	0	0.357735187877451	NA	37.4751912164653	M121.9029
M121.9045	121.90451741773	121.903656005859	121.905151367188	66	15	81	1	3086.18469238281	0	0.000187070602193584	0.461625081852731	NA	27.32757028806	M121.9045
M121.9067	121.906724062833	121.906051635742	121.907371520996	67	15	82	1	4053.71883138021	0	0.000927547998974987	0.461793848634468	NA	18.3098213886397	M121.9067
M121.9157	121.915666286762	121.914970397949	121.916404724121	72	15	87	1	3459.45560709635	0	0	0.341461737485534	NA	18.8964299161614	M121.9157
M121.9208	121.920824323382	121.920143127441	121.921508789062	69	15	84	1	0	0	0	0.263963941254191	NA	Inf	M121.9208
M121.9232	121.923160807292	121.922431945801	121.923645019531	67	15	82	1	4265.94597516741	0	0	0.420183054405384	NA	15.640407337876	M121.9232
M121.9247	121.924704031393	121.924163818359	121.92529296875	68	15	83	1	2985.01040039062	0	0	0.171174013078328	NA	18.5968106175292	M121.9247
M121.9269	121.926917457581	121.926383972168	121.927490234375	67	15	82	1	4150.31713867188	0	0.000113867680219704	0.354393630681606	NA	19.2843343623509	M121.9269
M121.9333	121.93329679049	121.932685852051	121.93376159668	62	26	88	1	5040.21428571429	0	0.0051000377911663	0.491164886169701	NA	14.7597133958994	M121.9333
M121.9391	121.939097086589	121.938369750977	121.939819335938	58	27	85	1	3126.20157877604	0	0.00224609912912466	0.388083478950802	NA	26.8309110324619	M121.9391
M121.9438	121.943772277832	121.942893981934	121.944244384766	74	26	100	1	2582.70483398438	0	0	0.326982115047446	NA	22.5004847952184	M121.9438
M121.9524	121.952375531814	121.951477050781	121.95344543457	71	15	90	2	4897.1162516276	0	0.00158959098713574	0.322987890510019	0.13136752818993	18.3236412595379	M121.9524
M121.9704	121.970371002847	121.969505310059	121.971054077148	65	27	92	1	0	0	0	-0.11050342734597	NA	Inf	M121.9704
M121.9836	121.983639053434	121.982757568359	121.984390258789	60	27	87	1	0	0	0	0.358038443926915	NA	Inf	M121.9836
M121.9957	121.995664068993	121.994728088379	121.996292114258	63	17	80	1	3645.73948838976	0	0	-0.0754277700279827	NA	7.50265963528122	M121.9957
M122.0029	122.002932914499	122.002220153809	122.003601074219	64	25	89	1	2433.84887695312	0	5.15352205354702e-11	-0.153400035183729	NA	27.031056508869	M122.0029
M122.0100	122.009957098192	122.009399414062	122.010330200195	62	17	79	1	3404.31930776743	0	0	0.174478624336311	NA	5.89304088530048	M122.0100
M122.0245	122.024525409275	122.023857116699	122.02522277832	60	17	77	1	6406.18832397461	0	0	0.318911577743733	NA	9.34241067763008	M122.0245
M122.0361	122.036069449732	122.03515625	122.036811828613	66	17	83	1	3085.15339660645	0	0.00959528137077026	0.297981196172441	NA	19.941436948622	M122.0361
M122.0434	122.043420087374	122.042869567871	122.04402923584	55	17	72	1	5179.86322021484	0	0.0037856230081541	0.591963841407808	NA	14.7326489227185	M122.0434
M122.0542	122.054221667832	122.053321838379	122.055038452148	68	15	100	3	1633.42709147135	0	0	0.673261783512279	0.105116713754557	Inf	M122.0542
M126.1026	126.102565453613	126.101722717285	126.103073120117	77.5	16	113	6	620.268886990017	0	0	0.82869890748092	0.156280672151301	Inf	M126.1026
M127.1059	127.10590196364	127.105758666992	127.106079101562	72	15	95	3	0	0	0	0.513245569249303	0.0570245533834636	Inf	M127.1059
M128.0494	128.04944844603	128.049133300781	128.049896240234	71	17	91	3	0	0	0	0.907744996742828	0.0258646227573756	Inf	M128.0494
M129.0658	129.065826606551	129.0654296875	129.065994262695	89.5	35	135	2	0	0	0	-0.200799116943246	0.410442207564017	Inf	M129.0658
M130.0498	130.049839131972	130.049468994141	130.049987792969	70	17	100	3	0	0	0	0.229485462580188	0.0792514837160531	Inf	M130.0498
